Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-293,2000,8.0,14,0,0,2,0,10.8,0.29,-3.2,-0.40,30,102,29.4,224,37,32.1,31.8,115,10,8.7,14,1.75,15.8,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,33-013,1992,6.0,7,0,0,1,0,6.5,0.40,-0.5,-0.09,22,60,36.7,239,27,23.0,29.5,76,3,3.9,8,1.33,14.4,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-230,1993,3.0,5,1,0,2,0,3.9,0.24,-1.1,-0.35,11,48,22.9,82,15,41.5,35.4,49,2,4.1,0,0.00,5.2,Matches
4,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-143,2002,6.0,9,0,0,2,0,9.1,0.32,+0.1,+0.02,55,130,42.3,233,20,46.4,38.5,84,5,6.0,8,1.33,14.7,Matches
5,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-270,1997,4.0,3,1,0,0,0,5.0,0.18,+2.0,+0.49,18,72,25.0,151,26,39.1,35.6,66,8,12.1,0,0.00,9.9,Matches
6,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-182,2004,4.0,10,2,0,0,1,7.4,0.36,-1.6,-0.40,7,19,36.8,134,23,11.2,26.1,66,8,12.1,5,1.25,11.9,Matches
7,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-168,1996,8.0,10,2,0,1,0,11.2,0.31,+1.2,+0.14,51,138,37.0,267,32,43.8,39.9,94,10,10.6,23,2.88,18.3,Matches
8,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35-135,1990,6.0,12,2,0,3,0,10.4,0.33,-1.6,-0.27,25,76,32.9,171,14,38.0,34.6,88,3,3.4,19,3.17,19.2,Matches
9,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-184,1998,6.0,11,0,0,2,0,9.4,0.43,-1.6,-0.26,28,95,29.5,176,15,47.7,37.5,63,6,9.5,7,1.17,13.0,Matches
10,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34-219,1991,2.0,3,1,0,0,0,3.1,0.33,+0.1,+0.05,7,27,25.9,53,8,30.2,32.2,28,4,14.3,10,5.00,18.4,Matches
11,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27-218,1998,1.0,1,0,0,0,0,1.6,0.79,+0.6,+0.57,8,14,57.1,28,2,42.9,34.8,9,0,0.0,1,1.00,13.5,Matches
12,Jean Butez,fr FRA,GK,Como,it Serie A,30-129,1995,6.0,5,0,0,1,0,4.3,0.33,-0.7,-0.12,39,71,54.9,221,21,27.1,29.6,72,8,11.1,11,1.83,16.0,Matches
13,Elia Caprile,it ITA,GK,Cagliari,it Serie A,24-051,2001,6.0,6,0,0,2,0,8.0,0.31,+2.0,+0.33,38,99,38.4,165,31,45.5,37.5,103,17,16.5,7,1.17,12.3,Matches
14,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25-106,2000,6.0,5,0,0,1,1,6.8,0.23,+2.8,+0.46,36,89,40.4,201,30,31.3,32.2,88,4,4.5,7,1.17,14.1,Matches
15,Lucas Chevalier,fr FRA,GK,Paris S-G,fr Ligue 1,23-343,2001,7.0,5,0,0,1,1,3.9,0.20,-0.1,-0.02,9,22,40.9,157,24,7.6,23.5,57,2,3.5,5,0.71,14.7,Matches
16,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26-195,1999,2.4,6,1,0,1,0,6.2,0.40,+0.2,+0.10,20,51,39.2,66,12,54.5,42.1,42,2,4.8,1,0.42,11.0,Matches
17,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33-157,1992,8.0,9,2,1,1,0,6.2,0.22,-2.8,-0.35,24,78,30.8,204,34,27.9,33.4,96,5,5.2,12,1.50,15.8,Matches
18,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23-170,2002,2.0,5,0,0,3,1,4.7,0.34,+0.7,+0.37,11,37,29.7,45,14,48.9,41.7,46,2,4.3,1,0.50,8.1,Matches
19,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-202,1998,6.0,13,1,1,0,0,14.1,0.36,+1.1,+0.18,35,96,36.5,214,20,32.7,33.6,74,5,6.8,13,2.17,15.1,Matches
20,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-007,1990,4.0,6,0,1,0,1,3.9,0.23,-1.1,-0.27,28,91,30.8,153,24,45.8,38.9,76,4,5.3,3,0.75,10.7,Matches
21,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27-197,1998,1.0,0,0,0,0,0,0.0,0.02,0.0,+0.02,0,0,,7,0,0.0,17.9,3,0,0.0,1,1.00,22.0,Matches
22,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-255,2001,2.5,4,0,0,0,0,3.0,0.28,-1.0,-0.42,16,52,30.8,73,6,56.2,42.4,41,3,7.3,5,1.99,16.6,Matches
23,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-112,1996,4.0,3,0,0,1,1,4.8,0.40,+2.8,+0.71,5,27,18.5,112,15,19.6,28.4,59,2,3.4,3,0.75,12.9,Matches
24,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-080,1997,6.0,5,1,0,1,0,4.9,0.24,-0.1,-0.02,22,55,40.0,170,25,25.3,30.8,89,7,7.9,2,0.33,9.6,Matches
25,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-115,1993,7.0,10,2,0,2,1,8.1,0.29,-0.9,-0.13,32,85,37.6,234,37,26.5,29.6,106,13,12.3,10,1.43,13.5,Matches
26,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25-333,1999,7.0,12,3,0,0,0,11.8,0.27,-0.2,-0.03,15,57,26.3,184,34,21.7,27.0,92,9,9.8,8,1.14,14.7,Matches
27,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-160,1987,5.0,5,0,0,0,0,4.1,0.25,-0.9,-0.19,40,98,40.8,286,18,30.1,30.8,66,8,12.1,13,2.60,15.5,Matches
28,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-264,1992,8.0,11,1,1,1,0,10.8,0.27,-0.2,-0.03,39,125,31.2,211,36,47.4,38.8,117,6,5.1,7,0.88,13.5,Matches
29,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-232,1999,4.0,2,0,0,0,0,2.2,0.28,+0.2,+0.06,15,43,34.9,98,12,31.6,30.3,53,4,7.5,1,0.25,8.3,Matches
30,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-273,1989,7.0,15,2,0,1,3,12.8,0.28,+0.8,+0.12,39,157,24.8,167,33,47.9,36.8,144,7,4.9,1,0.14,8.1,Matches
31,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-018,1995,8.0,14,0,0,5,0,15.6,0.30,+1.6,+0.20,49,120,40.8,233,27,41.2,35.3,117,3,2.6,18,2.25,17.4,Matches
32,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-186,1995,6.0,10,2,0,1,0,10.1,0.29,+0.1,+0.01,39,127,30.7,161,16,66.5,45.3,88,3,3.4,7,1.17,13.0,Matches
33,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,23-340,2001,7.0,16,2,0,0,1,16.3,0.37,+1.3,+0.18,21,51,41.2,266,29,16.2,26.0,96,3,3.1,10,1.43,14.0,Matches
34,Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32-124,1993,6.0,8,1,0,4,0,7.2,0.23,-0.8,-0.14,20,72,27.8,189,23,25.4,30.7,86,3,3.5,10,1.67,15.1,Matches
35,Joan García,es ESP,GK,Barcelona,es La Liga,24-164,2001,6.0,4,1,0,1,0,6.0,0.30,+2.0,+0.33,6,12,50.0,167,47,6.6,24.5,53,3,5.7,28,4.67,21.9,Matches
36,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-286,1992,6.5,11,1,1,0,0,13.2,0.35,+2.2,+0.34,16,90,17.8,198,33,34.8,35.0,104,2,1.9,7,1.08,15.9,Matches
37,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-342,1990,6.0,8,1,0,2,0,7.7,0.26,-0.3,-0.05,28,71,39.4,180,22,35.6,33.0,70,2,2.9,4,0.67,12.8,Matches
38,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-280,1999,6.0,10,1,1,1,0,10.1,0.33,+0.1,+0.01,17,63,27.0,206,37,24.8,30.7,120,5,4.2,6,1.00,12.4,Matches
39,Dominik Greif,sk SVK,GK,Lyon,fr Ligue 1,28-192,1997,3.0,2,0,0,1,1,1.9,0.25,+0.9,+0.30,12,30,40.0,120,10,21.7,26.2,38,3,7.9,4,1.33,15.1,Matches
40,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,35-162,1990,6.0,8,0,0,1,0,6.9,0.31,-1.1,-0.19,20,64,31.3,208,22,22.1,29.4,88,5,5.7,8,1.33,14.1,Matches
41,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-217,1997,7.0,5,1,0,1,0,7.5,0.33,+2.5,+0.36,37,129,28.7,200,27,46.5,38.4,125,7,5.6,3,0.43,10.7,Matches
42,Mads Hermansen,dk DEN,GK,West Ham,eng Premier League,25-096,2000,4.0,11,0,0,6,0,9.3,0.46,-1.7,-0.43,19,72,26.4,141,19,41.1,33.9,72,5,6.9,1,0.25,8.8,Matches
43,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,32-132,1993,8.0,8,1,0,0,0,10.2,0.28,+2.2,+0.27,50,116,43.1,186,39,38.7,34.8,129,7,5.4,17,2.13,17.7,Matches
44,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,de Bundesliga,32-336,1992,6.0,8,1,0,2,0,8.6,0.21,+0.6,+0.09,32,94,34.0,247,18,31.6,30.7,96,3,3.1,4,0.67,12.0,Matches
45,Lukáš Hrádecký,fi FIN,GK,Monaco,fr Ligue 1,35-325,1989,2.9,4,1,0,0,0,3.1,0.28,-0.9,-0.30,10,34,29.4,92,7,30.4,30.6,42,2,4.8,4,1.40,18.9,Matches
46,Franco Israel,uy URU,GK,Torino,it Serie A,25-176,2000,6.0,13,2,0,2,0,9.0,0.27,-4.0,-0.66,39,102,38.2,198,22,44.4,38.2,68,2,2.9,5,0.83,14.4,Matches
47,Karl Jakob Hein,ee EST,GK,Werder Bremen,de Bundesliga,23-185,2002,2.0,4,1,0,1,0,4.7,0.26,+0.7,+0.36,15,36,41.7,111,11,24.3,29.7,28,2,7.1,6,3.00,17.6,Matches
48,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-260,1990,1.0,0,0,0,0,0,0.3,0.14,+0.3,+0.28,3,10,30.0,32,2,28.1,29.6,13,1,7.7,3,3.00,18.9,Matches
49,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-204,1993,3.0,3,0,0,1,0,4.6,0.35,+1.6,+0.53,27,86,31.4,115,19,58.3,41.4,77,4,5.2,4,1.33,13.3,Matches
50,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-274,2001,6.0,4,1,0,0,0,5.6,0.23,+1.6,+0.27,4,28,14.3,110,24,23.6,27.9,56,2,3.6,7,1.17,13.3,Matches
51,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-182,2002,0.9,2,0,0,1,0,1.8,0.59,-0.2,-0.23,3,10,30.0,31,1,22.6,26.0,20,0,0.0,1,1.08,16.3,Matches
52,Bingourou Kamara,sn SEN,GK,Lorient,fr Ligue 1,28-359,1996,3.0,8,0,0,0,0,5.1,0.34,-2.9,-0.96,12,22,54.5,65,7,29.2,30.0,26,2,7.7,5,1.67,15.3,Matches
53,Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,26-326,1998,7.0,12,1,0,1,1,9.0,0.29,-2.0,-0.28,46,119,38.7,223,38,39.9,34.0,91,6,6.6,5,0.71,11.9,Matches
54,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-313,1997,6.0,4,1,0,0,0,4.2,0.23,+0.2,+0.03,17,56,30.4,168,23,29.2,31.0,82,1,1.2,4,0.67,14.8,Matches
55,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,28-364,1996,7.0,11,1,0,3,0,15.7,0.34,+4.7,+0.68,27,78,34.6,174,39,37.9,35.1,112,13,11.6,3,0.43,8.6,Matches
56,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-196,1998,4.1,8,2,0,0,1,5.5,0.25,-1.5,-0.37,9,18,50.0,81,22,19.8,26.3,46,3,6.5,6,1.45,17.3,Matches
57,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20-112,2005,1.5,6,1,0,1,0,3.4,0.29,-2.6,-1.72,6,20,30.0,36,8,33.3,30.4,22,0,0.0,0,0.00,14.0,Matches
58,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23-100,2002,1.0,0,0,0,0,0,0.9,0.31,+0.9,+0.94,10,37,27.0,39,2,76.9,50.7,13,2,15.4,3,3.00,16.8,Matches
59,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-240,1993,6.0,9,1,0,1,0,8.1,0.32,-0.9,-0.14,25,89,28.1,155,14,46.5,37.4,71,1,1.4,8,1.33,17.9,Matches
60,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-225,1992,7.0,11,2,0,1,1,9.0,0.28,-1.0,-0.14,21,79,26.6,240,36,24.6,29.5,83,6,7.2,6,0.86,13.1,Matches
61,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-346,1992,4.5,6,0,0,3,1,6.3,0.30,+1.3,+0.28,27,98,27.6,135,10,60.7,44.1,38,1,2.6,9,2.00,20.2,Matches
62,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35-014,1990,7.0,7,2,0,1,0,7.7,0.17,+0.7,+0.09,35,84,41.7,279,33,27.6,30.8,126,6,4.8,9,1.29,12.2,Matches
63,Pau López,es ESP,GK,Betis,es La Liga,30-306,1994,5.0,3,0,0,1,0,5.0,0.24,+2.0,+0.40,22,67,32.8,129,14,31.8,34.2,87,3,3.4,4,0.80,16.8,Matches
